Season Number,Startup Name,Pitch Number,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
4,PersonalTouchSkincare,492,Pitching Wellness And Luxury,Sahiba Bali/Aashish Solanki,Beauty/Fashion,Premium skin body home care,https://www.skincarepersonaltouch.com/,2022.0,2,1.0,1.0,0.0,0,Middle,Panipat,Haryana,12.0,0.25,1.2,1.0,120.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,"Kunal Bahl,Azhar Iqubal",0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
4,KIWIKisanWindow,493,Pitching Wellness And Luxury,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Organic grocery solutions,https://kiwikisanwindow.com/,2017.0,2,1.0,1.0,0.0,1,Middle,Dehradun,Uttarakhand,5.06,0.25,0.5,1.0,50.0,1,1,2.5,10.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,0.0,Kunal Bahl,"Kunal Bahl,Azhar Iqubal",0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
4,TripoleGear,494,"Tech, Travel And Cheesecake",Sahiba Bali,Fitness/Sports/Outdoors,Trekking gear essentials backpacks,https://tripole.in/,2017.0,1,1.0,0.0,0.0,0,Middle,Delhi,Delhi,14.2,1.6,1.0,1.0,100.0,1,1,0.75,1.15,0.25,9.0,65.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4,Neosapien,495,"Tech, Travel And Cheesecake",Sahiba Bali,Technology/Software,AI-powered superhuman personal assistant,https://neosapien.xyz/,2024.0,2,2.0,0.0,0.0,0,Young,"Gwalior,Indore",Madhya Pradesh,2.42,0.25,0.8,2.5,32.0,1,1,0.8,4.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4,MissCheesecake,496,"Tech, Travel And Cheesecake",Sahiba Bali,Food and Beverage,Delightful affordable cheesecakes,Unknown,2024.0,2,1.0,1.0,0.0,0,Young,Jodhpur,Rajasthan,2.42,8.5,0.3,5.0,6.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4,SpeedKitchen,497,From Culinary To Creativity,Sahiba Bali/Aashish Solanki,Food and Beverage,Ready-to-move kitchens,https://speedkitchen.in/,2021.0,2,2.0,0.0,0.0,0,Middle,Delhi,Delhi,5.5,0.25,2.0,3.0,66.66666667,1,1,2.0,6.0,0.0,0.0,33.33,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666,2.0,0.0,0.0,0.0,0.0,1.3333000000000002,4.0,0.0,"Kunal Bahl,Azhar Iqubal","Kunal Bahl,Azhar Iqubal",0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
4,MudgarClub,498,From Culinary To Creativity,Sahiba Bali/Aashish Solanki,Fitness/Sports/Outdoors,Traditional fitness tools,https://www.mudgarclub.com/,2023.0,2,2.0,0.0,0.0,0,Middle,Unknown,Haryana,2.42,0.1,0.5,10.0,5.0,1,1,0.5,12.5,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,"Kunal Bahl,Azhar Iqubal",0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
4,ImagiMake,499,From Culinary To Creativity,Sahiba Bali/Aashish Solanki,Children/Education,Creative games and toys,https://imagimake.com/,2014.0,2,1.0,1.0,0.0,1,Middle,Mumbai,Maharashtra,56.0,0.25,1.5,0.5,300.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,"Kunal Bahl,Azhar Iqubal",0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
4,BeastLife,500,"Health, Style And Care",Aashish Solanki,Medical/Health,Affordable protein supplements,https://beastlife.in/,2024.0,2,2.0,0.0,0.0,0,Middle,"Kanpur,Lucknow",Uttar Pradesh,2.42,0.23,1.0,1.0,100.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
4,GoDevil,501,"Health, Style And Care",Aashish Solanki,Beauty/Fashion,Trendy online fashion,https://godevil.in/,2022.0,2,1.0,1.0,0.0,0,Young,Gurugram,Haryana,2.75,0.51,0.8,2.0,40.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Guest Invested,Kunal Bahl,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
